商品名稱,品牌名稱,累積金額,產品單價,產品網址,產品規格
美國松木纖維抗菌砧板,品幸福,7074760,1290,https://market.icook.tw//products/lifehappiness,"品名：品幸福超抗菌木纖維圓板,尺寸： W40.5 x D30.5 x H0.6cm,重量：856g,材質：松木纖維、樹脂,耐熱：170°C,內容物：圓板、矽膠防滑墊片,產地：台灣品牌，台灣設計，中國製造,<span style=""color: #c0504d;"">注意事項：</span>"
德國真空破壁調理機,德國藍寶 BLAUPUNKT,5748480,4990,https://market.icook.tw//products/blender-blaupunkt,"品名：德國藍寶真空破壁調理機,型號：BPH-M01B,產品尺寸：<code>本體</code> D19.7XW20.7xH47.2 cm <code>壺體</code> W15.1xD21.6xH29.4cm,重量：<code>本體</code> 4.1kg <code>壺體</code> 891g（含杯蓋）,容量：1750ml,材質：<code>底座</code> ABS <code>壺體</code> Tritan™ <code>刀刃</code> 304 不鏽鋼,額定電壓：110V / 60Hz / 1000W,電源線長度：約150cm,馬達轉速：24,000 RPM,真空效果：59Kpa,內容物：主機x1、攪拌棒x1、量杯x1、真空塞x2、食譜x1、說明書x1、清潔刷x1,可設定模式：蔬果、冰沙、醬汁、米糊、研磨,可預設秒數：10秒、20秒、30秒、40秒、60秒,產地：德國品牌，德國設計，中國製造,國際條碼：4711467079602,商檢合格字號：CI338065993422"
日本 Toffy 復古美型氣炸烤箱,TOFFY,5573830,4990,https://market.icook.tw//products/toffy-airoven,"品名：日本 Toffy 復古美型氣炸烤箱,內容物：主機＋烤盤＋烤架＋集屑盤＋烤網籃＋把手,型號：K-TS5,尺寸：<code>主機</code> W32.5 x D31.5 x H33cm,電線長度：約 1m,重量：4.6kg,電壓：110V／60Hz,功率：1200W,定時：60 分鐘,溫度調節：<code>發酵</code> 40°C／<code>其他模式</code> 60~230°C,功能：氣炸、烘烤、燒烤、慢烤、發酵,材質：<code>主機</code> 不鏽鋼、鋼、玻璃、ABS／<code>烤盤</code> 鋁合金+不沾塗層,產地：日本品牌，日本設計，中國製造,保固：機體原廠 1 年保固,商品驗證識別號碼: R39578,產品責任險：本產品已投保新光產險 3200 萬產品責任險"
Driver 甘丹茶壺,Driver,4193819,1080,https://market.icook.tw//products/driverteatop,"品名：Driver 大甘丹茶壺,內容物：大甘丹、防塵蓋,尺寸：Ø12.5xH19 cm／<code>防塵蓋</code> Ø8.8xH1.5 cm,容量：1000ml,材質：304不鏽鋼、高硼矽耐熱玻璃、食品級矽膠圈／<code>防塵蓋</code> PP,耐冷熱：-20～130°C,產地：台灣品牌，台灣設計，台灣製造"
小嵐立式美髮吹風機,meekee,3301780,3990,https://market.icook.tw//products/pink-meekee,"品名：小嵐立式美髮吹風機,尺寸：119～148.2cm,材質：ABS、鋁合金,重量：3.45kg,電壓：110V/ 1200W,電線長度：150cm,桿身長度：三節式伸縮調節,產地：中國製造,認證：BSMI、 NCC 合格檢驗（無線遙控器）,<span style=""color: #c0504d;"">貼心提醒：</span>,1. 因商品屬性屬於衛生性商品，無法真的試用。,2. 商品收到後可以拆箱確認（僅限於主機功能部分），請開啟電源確認風量及溫度是否符合需求，過程中先不要組裝以免產生使用痕跡，後續如需申請退貨，商品也須完全恢復原包裝及狀態。,3. 情境圖僅供參考，實際桿身為無刻度設計，請以收到之商品為準。"
法國砧板刀具殺菌烘乾機,法國 THOMSON,3245250,2490,https://market.icook.tw//products/threeinone-uv,品名：食品真空保鮮袋 10 入組 
GREENIS 全方位智慧料理機,GREENIS,3116800,25900,https://market.icook.tw//products/greenis,"品名：GREENIS 全方位智慧料理機,內容物：不鏽鋼主鍋＋主鍋上蓋＋玻璃上蓋＋不鏽鋼蒸鍋＋不鏽鋼蒸盤＋不鏽鋼網籃＋量杯蓋＋矽膠刮刀＋四葉刀頭＋蝴蝶刀＋一葉刀頭（炒菜刀頭需額外加購）,尺寸：<code>主機+主鍋組</code> W40 x D19 x H31.5cm／<code>主機+蒸架組</code> W46 x D30 x H44cm／<code>主鍋</code> W25 x D19 x H22.2cm（廣口17cm）／<code>主鍋上蓋</code> W24.5 x D20.5 x H5.5cm／<code>玻璃上蓋</code> W32.5 x D26.5 x H7.5cm／<code>不鏽鋼蒸鍋</code> W35.5 x D25.3 x H9cm／<code>四葉刀頭</code> W13.5 x D13.5 x H9cm／<code>蝴蝶刀</code> W14 x D2.3 x H15cm／<code>量杯蓋</code> W8 x D8 x H6cm／<code>不鏽鋼蒸盤</code> W37 x D27.5 x H4.5cm／<code>不鏽鋼網籃</code> W16 x D16 x H7.5cm／<code>一字刀頭</code> W8 x D4 x H11cm／<code>矽膠刮刀</code> W24 x D5 x H1.2cm,容量：<code>主鍋</code> 2000ml,重量：<code>主機+主鍋</code> 3.8kg／<code>主機+蒸架組</code> 5.5kg／<code>主鍋</code> 1.2kg,額定電壓：110V／60Hz,耗電瓦數：1400W（攪拌 550W／加熱 850W）,攪拌轉速：32000 轉／分鐘,秤重範圍：1~5000g,材質：<code>主鍋</code> SUS 304 不鏽鋼、ABS／<code>主鍋上蓋</code> PP、食品級矽膠／<code>玻璃上蓋</code> SUS 304 不鏽鋼、耐熱玻璃、PA／<code>不鏽鋼蒸鍋+不鏽鋼蒸盤</code>  SUS304不鏽鋼、食品級矽膠、PA／<code>不鏽鋼網籃</code> SUS 304 不鏽鋼／<code>四葉刀頭＋一字刀頭</code> 高碳不鏽鋼、食品級矽膠／<code>蝴蝶刀</code> PA、食品級矽膠／<code>量杯蓋</code> PP／<code>矽膠刮刀</code> 食品級矽膠／<code>炒菜刀頭</code> 高碳不鏽鋼、食品級矽膠,耐熱：<code>主鍋</code> -25～105°C／<code>蝴蝶刀</code> -40～220°C／<code>矽膠刮刀</code> -40～220°C,產地：歐洲品牌，中國製造，台灣監製"
美妍小V 4in1溫冷緊緻按摩儀,lisscode,2015320,4560,https://market.icook.tw//products/lisscode-smio-v,"品名：美妍小V 4in1溫冷緊緻按摩儀,內容物：主機、充電線、說明書,型號：LB-200,顏色：雲朵白／夕陽粉,尺寸：W94.8×D92×H31mm,溫度設定：42°C／12°C,額定電壓：DC 5V,額定輸入：0.5A,充電方式：Type-C 充電,震動頻率：11000ppm,材質：<code>機身</code> ABS／<code>導頭</code> 鋅合金,重量：156g,產地：台灣品牌，台灣設計，台灣製造"
MAXCELIA 無線秤重食物調理機,maxcelia,1935580,2690,https://market.icook.tw//products/maxcelia,"品名：MAXCELIA 無線秤重食物調理機,內容物：主機＋600ml 玻璃調理杯+1200ml 玻璃調理杯+不鏽鋼刀頭x2+剝蒜器x2＋攪拌盤x2＋磨泥盤x2＋刮刀＋USB充電線,型號：MX-0126BS,調理杯容量：600ml／1200ml,尺寸：<code>600ml</code> Φ11.8xH22.5cm／<code>1200ml</code> Φ14.8xH23.8cm,重量：<code>600ml</code> 1.2kg／<code>1200ml</code> 1.52kg,材質：<code>雙層切碎刀頭</code> POM+SUS420／<code>碗蓋</code> PP／<code>600ml、1200ml調理杯</code> 鈉鈣玻璃／<code>攪拌盤、磨泥盤</code> ABS／<code>剝蒜器、碗墊、碗蓋墊圈</code> 矽膠,耐熱溫度：<code>玻璃調理杯</code> 0～50°C,額定秤重範圍：&lt;1.0kg,轉速：1400 轉／分,額定輸入電壓：5V／1A,總額定消耗電功率：120W,電池容量：1500mAh,充電時間：4 小時,連續運作時間：長壓時間不超過 30 秒，每次需間隔 2 分鐘。,產地：台灣品牌，中國製造"
Sealito T2 無線輕巧真空保鮮機,Sealito,1530469,1980,https://market.icook.tw//products/sealito-t2,"品名：單面壓紋真空袋（兩側有易撕口設計）,尺寸：17 x 25 cm（可用範圍需扣除左右壓邊處各約 1cm，下方壓邊處約 1.5cm）,材質：食品級，PA＋PE,注意事項：可隔水加熱，不建議微波使用。"
