日本麗克特Carre 調理鍋,日本 recolte,1614240,2280,https://market.icook.tw//products/recolte-carre,"品名：日本麗克特 Carre 調理鍋,內容物：主機、上蓋、陶瓷鍋、燒烤盤、控油架、蒸架、21 道專用精緻食譜,型號：RPD-4,顏色：經典紅、奶油白、磨砂灰,尺寸：<code>主機</code> W20 x D20 x H17.5cm,電線長度：1m,陶瓷鍋容量：1.3L,重量：1350g,電壓：110V／60Hz,功率：650W,材質：<code>本體</code> 鋼、PBT 樹脂 ／<code>陶瓷鍋</code> 金屬合金（陶瓷塗層）/ <code>燒烤盤</code><code></code> 金屬合金（不沾黏塗層）／<code>上蓋</code> 不鏽鋼、PBT 樹脂／<code>控油架、蒸架</code> 不鏽鋼 ,產地：日本品牌，日本設計，中國製造,保固：機體原廠 1 年保固,商品驗證識別號碼: R35178,產品責任險：本商品已投保新光產險 3200 萬產品責任險"
Festino美容導入儀2.0升級款,日本 recolte,455120,2280,https://market.icook.tw//products/recolte-festino,"品名：日本 Festino 音波熱感美容儀 2.0 升級款,型號：SMHB-023,顏色：粉,尺寸：約W18.5×D18.5×H128mm,材質：ABS、鋅合金,重量：約 27g,電壓：USB 電源（DC5V／1A）,產地：日本品牌，日本設計，中國製造"
one-meter 玻啵鍋,one meter,3438839,2880,https://market.icook.tw//products/one-meter,"品名：one-meter 玻啵鍋,內容物：主機、玻璃內鍋、烤架、說明書,尺寸：D23xW19xH22cm,容量：2L,重量：2.55kg,額定電壓／頻率：110V／60Hz,總額定消耗功率：700W,溫度範圍：120～180°C,產地：台灣品牌，中國製造,認證：<a href=""https://imgur.com/4rtBQvn"" rel=""nofollow noopener"" target=""_blank"">符合 BSMI 合格檢驗</a>"
SWANZ 動飲杯｜直飲吸管開蓋三合一,Swanz,663880,1380,https://market.icook.tw//products/swanzluna,"<span style=""font-size: 11pt;"">品名：矽膠清潔刷</span>,尺寸：Ø5cmx30cm,重量：30g,材質：矽膠,產地：中國製造"
愛酷傘｜防風瞬開超大折疊傘,iCook 愛料理精選好物,,390,https://market.icook.tw//products/umbrella,"品名：愛酷傘｜防風瞬開超大折疊傘,顏色：純黑、鐵灰、墨綠、深藍,尺寸：<code>弧面</code> 138cm／<code>展開</code> Φ120xH70cm ／<code>折疊</code> D37xW7cm,重量：480g,材質：鋁合金、玻璃纖維、POLYESTER布料,產地：台灣品牌，台灣設計，中國製造"
Dr. Fu 酸痛按摩師,Dr. Fu,117440,1990,https://market.icook.tw//products/drfu,"品名：Dr. Fu 酸痛按摩師,材質：EVA 彈力泡棉、ABS,耐重：可達 135 kg,尺寸：D65xW19xH8.9 cm,產地：美國品牌，美國設計，中國製造"
日本阿拉丁0.2秒320度瞬熱烤箱旗艦款,日本千石阿拉丁,3532000,10900,https://market.icook.tw//products/aladdin,"品名：日本美濃燒 Sowaca 單柄陶盤+雙耳陶盤,規格：<code>圓形雙耳陶盤</code> D28cm×W23.3cmxH5.8cm／<code>單柄多用途陶盤</code> D19.5cmxW26cmxH3.5cm,產地：日本品牌，日本設計，日本手工製造,貼心提醒：本產品不適用於 IH 調理爐"
日本KOM 瞬熱式智能飲水機,KOM,,3280,https://market.icook.tw//products/kom-water,"品名：日本KOM 瞬熱式智能飲水機,尺寸：D22xW18.8xH31 cm,電壓：110V／60Hz,功率：1500W,重量：4.3kg,製熱水能力：280ml／分,產地：日本品牌，中國製造,檢驗：BSMI 號碼 CI410062900329"
義大利雙口免安裝 IH 聚嗨爐,義大利 Giaretti,951706,5990,https://market.icook.tw//products/ihtwopot,"品名：原木矽膠餐具 5 件組,內容物：櫸木柄矽膠鍋鏟、櫸木柄矽膠湯勺、櫸木柄矽膠料理刷、櫸木柄矽膠夾、廚具收納桶,材質：耐熱矽膠,產地：中國製造，台灣監製"
WOKY 恰恰鍋,WOKY,7264042,3980,https://market.icook.tw//products/woky-pot,"<p style=""text-align: left;""><span style=""font-size: 14pt;""><span style=""color: #3f3f3f; font-family: Rubik, -apple-system, BlinkMacSystemFont, Segoe UI, 微軟正黑體, Microsoft JhengHei, sans-serif;""><span style=""caret-color: #3f3f3f;"">品名：WOKY恰恰鍋蓋集水架,材質：矽膠,尺寸：D7.5xW3xH5 cm,產地：台灣品牌，台灣設計，中國製造</span></span></span>"
德國真空破壁調理機,德國藍寶 BLAUPUNKT,4945090,4990,https://market.icook.tw//products/blender-blaupunkt,"品名：德國藍寶真空破壁調理機,型號：BPH-M01B,產品尺寸：<code>本體</code> D19.7XW20.7xH47.2 cm <code>壺體</code> W15.1xD21.6xH29.4cm,重量：<code>本體</code> 4.1kg <code>壺體</code> 891g（含杯蓋）,容量：1750ml,材質：<code>底座</code> ABS <code>壺體</code> Tritan™ <code>刀刃</code> 304 不鏽鋼,額定電壓：110V / 60Hz / 1000W,電源線長度：約150cm,馬達轉速：24,000 RPM,真空效果：59Kpa,內容物：主機x1、攪拌棒x1、量杯x1、真空塞x2、食譜x1、說明書x1、清潔刷x1,可設定模式：蔬果、冰沙、醬汁、米糊、研磨,可預設秒數：10秒、20秒、30秒、40秒、60秒,產地：德國品牌，德國設計，中國製造,國際條碼：4711467079602,商檢合格字號：CI338065993422"
法國 THOMSON 智能美型製麵包機,法國THOMSON,,2690,https://market.icook.tw//products/bread,"品名：法國THOMSON 全自動復古美型製麵包機,內容物：麵包桶、攪拌棒、電線、量杯、量匙、取物鉤子、說明書、保證書、麵包機食譜,型號：TM-SAB03M,顏色：白,尺寸：W29xD21xH23.8 cm,容量：400g、600g,重量：3kg,功率：400W,電壓：110V／60Hz,功能菜單：19 項菜單、3 種烤色設定,預約時間：15 小時,產地：法國品牌，中國製造"
韓國Damda 摺疊置物籃/購物車,韓國 Damda,2135565,1780,https://market.icook.tw//products/damda,"品名：【購物車專用】彈力固定繩,顏色：米色、黃色、粉色,尺寸：<code>繩長</code> 171.5cm／<code>掛鈎</code> 5.5cm,材質：聚酯+PP,產地：韓國品牌，韓國設計，中國製造"
台灣原創 雙向矽膠鍋鏟,Turnula,11912868,590,https://market.icook.tw//products/new-turnula,"品名：Turnula 雙向不鏽鋼鍋鏟,尺寸：W8.7±0.2 x D37.5±0.5 x H4±0.3cm,重量：180±10g,材質：304 高級不鏽鋼,產地：台灣品牌，台灣設計，中國製造,適用於：一般 28~40cm 口徑的各式炒鍋,專利：<code>台灣發明</code> 1612929、<code>台灣新型</code> M539896、<code>台灣設計</code> D186325、<code>日本設計</code> 1600072、<code>中國新型</code> ZL201621458087.8、<code>中國設計</code> ZL201730348700.4、<code>中國設計</code> ZL201730348717.X"
韓國昌信收納保鮮盒,昌信生活,2610480,869,https://market.icook.tw//products/story,"品名：SKYLOCK 密扣提籃式保鮮盒,容量：3800ml／5900ml,內容物：保鮮盒x1+格狀提籃x1,顏色：<code>盒蓋</code> 白色／<code>盒身</code> 透明,尺寸：<code>3800ml</code> D23.5 x W23.5 x H10cm／<code>5900ml</code> D23.5xW23.5xH15cm,材質：<code>盒身</code> SAN／<code>上蓋</code> PP、TPE／<code>提籃</code> RPP,耐熱：<code>盒身</code> -30~100℃／<code>上蓋</code> -30~100℃／<code>提籃</code> -20~100℃,產地：韓國品牌，韓國設計，韓國製造,適用於：僅有盒身可入洗碗機、微波爐。,認證：通過 FDA 原料認證，通過 KCL 檢驗認證，BPA Free（不含雙酚A）。"
德國SABA 免安裝RO瞬熱飲水機,SABA,10410542,9580,https://market.icook.tw//products/saba-ro,"品名：SABA 飲水機專用濾芯組,內容物：PAC 活性碳 PP 濾芯+ RO 逆滲透濾芯+C2 複合式濾芯,總淨化水量：5000L,產地：中國製造，台灣監製,認證：<a href=""https://imgur.com/a/tv1Y5Iu"" rel=""nofollow noopener"" target=""_blank"">SGS 水質檢驗合格報告</a>"
瑞士 HeatsBox 智能加熱便當盒,Magnus Life,122560,2280,https://market.icook.tw//products/heatsbox,"品名：瑞士 HeatsBox style+ 智能加熱便當盒（分離式）,顏色：太空灰,尺寸：W22 x D17 x H7cm,容量：925ml,重量：700g,電壓：110V／60Hz,最大功率：100W,電線長度：1.5M,材質：304 不鏽鋼、樹脂、矽膠,產地：瑞士品牌，瑞士設計，中國製造,認證：通過德國 LFGB、美國 FDA 食品級材質合格認證,貼心提醒：HeatsBox Style+ 主機闔上時，中間會有一條縫隙，此縫隙非密合不良，而是原本之設計外貌。"
Swanz 隨身杯,Swanz,10364760,,https://market.icook.tw//products/swanznestcup,"品名：上班族必備組,內容物：茶隔網x1、茶隔矽膠套x1、兩用杯蓋x1、收納配件袋x1,尺寸：<code>茶隔網</code> Ø10.5 x H0.5cm／<code>矽膠套</code> Ø10.5 x H1cm／<code>上蓋</code> Ø10.5 x H2.3cm／<code>配件袋</code> Ø10 x H11cm,重量：<code>茶隔網</code> 65g／<code>矽膠套</code> 10g／<code>上蓋</code> 60g,材質：<code>茶隔網</code> 100% 硬白瓷／<code>矽膠套</code> 耐熱矽膠／<code>上蓋</code> Tritan™／<code>配件袋</code> 牛津布,耐熱：<code>茶隔網</code> -40~1000℃／<code>矽膠套</code> -40~150℃／<code>上蓋</code> -40~100℃,產地：新加坡品牌，新加坡設計，中國製造,收納袋容量：可同時裝入折疊矽膠吸管x1+兩用杯蓋x1+茶隔網x1。,注意事項：收納配件袋以清水洗滌，不建議使用清潔劑。"
LazySusan空氣炸鍋預購,Heartcook,18227490,,https://market.icook.tw//products/heartcook-lazysusan,"品名：智慧型多功能滅菌磨刀架,內容物：智慧型多功能滅菌磨刀架、電源變壓器、保固說明書,顏色：白色淺木紋／黑色深木紋,材質：ABS 塑料、矽膠,尺寸：W22 x D22 x H36cm,重量：1.8 kg,電壓：100 - 240V,產地：德國設計，中國製造"
小藍寶筋膜按摩槍,德國藍寶 BLAUPUNKT,9477780,,https://market.icook.tw//products/blaupunkt02,"品名：小藍寶按摩槍,顏色：貝殼藍、珊瑚粉、珍珠白,產品尺寸：W13.7 x D5.5 x H20 cm,重量：590 g ,材質：<code>機身</code> ABS／<code>按摩頭</code> ABS／<code>美體按摩頭</code> ABS,電池直流輸入：DC 5V / 2A,額定電壓：11.1V,馬達轉速：1575~3500 RPM,內容物：產品主機 x1／專用 USB 線 x1／按摩頭 x3PCS／說明書 x1／收納袋 x1／旅充頭 x1,產地：德國品牌，中國製造,責任險：本商品已投保富邦產險 3500 萬產品責任險"
韓國鑽石不沾油切烤盤,韓國 HAPPYCALL,,1580,https://market.icook.tw//products/happycallbbqtray,"品名：韓國 HAPPYCALL 鑽石不沾油切長形烤盤,尺寸：W36.5 x D33 x H4.5cm,重量：1.4kg,材質：<code>鍋體</code> 鋁合金／<code>內部塗層</code> 鑽石塗層,產地：韓國品牌，韓國設計，韓國製造,適用於：瓦斯爐、卡式爐、洗碗機,認證：<a href=""https://imgur.com/pIzBYX0"" rel=""nofollow noopener"" target=""_blank"">SGS 檢驗</a>,<span style=""color: #c0504d;"">注意事項：</span>"
韓國 BOSQUE 防刮耐磨力盾不沾鍋具,韓國 Dr.Hows,,1680,https://market.icook.tw//products/drhows-bosque,"品名：韓國 Dr.Hows BOSQUE 力盾鍋具,款式：平底煎鍋、炒鍋、方型煎盤（含鍋蓋）、單柄湯鍋（含鍋蓋）、雙耳燉鍋（含鍋蓋）,顏色：炭黑、嫩粉,材質：,【單柄湯鍋、雙耳燉鍋】<code>內部</code> 鑄鋁／<code>陶瓷塗層</code> 天然礦土砂石（二氧化矽）,【平底煎鍋、炒鍋、方型煎盤】<code>內部</code> 鑄鋁／<code>三重塗層</code> 氧化鋯（花崗岩萃取成分）、MEGA STONE"
韓國ADDZ鍛造白陶鍋,韓國 HAPPYCALL,,4888,https://market.icook.tw//products/happycall-whitepot,"品名：韓國 ADDZ 鍛造白陶鍋系列,"
