法國 THOMSON 智能美型製麵包機,法國THOMSON,,2690,https://market.icook.tw//products/bread,"品名：法國THOMSON 全自動復古美型製麵包機,內容物：麵包桶、攪拌棒、電線、量杯、量匙、取物鉤子、說明書、保證書、麵包機食譜,型號：TM-SAB03M,顏色：白,尺寸：W29xD21xH23.8 cm,容量：400g、600g,重量：3kg,功率：400W,電壓：110V／60Hz,功能菜單：19 項菜單、3 種烤色設定,預約時間：15 小時,產地：法國品牌，中國製造"
日本麗克特Carre 調理鍋,日本 recolte,1776120,2280,https://market.icook.tw//products/recolte-carre,"品名：日本麗克特 Carre 調理鍋,內容物：主機、上蓋、陶瓷鍋、燒烤盤、控油架、蒸架、21 道專用精緻食譜,型號：RPD-4,顏色：經典紅、奶油白、磨砂灰,尺寸：<code>主機</code> W20 x D20 x H17.5cm,電線長度：1m,陶瓷鍋容量：1.3L,重量：1350g,電壓：110V／60Hz,功率：650W,材質：<code>本體</code> 鋼、PBT 樹脂 ／<code>陶瓷鍋</code> 金屬合金（陶瓷塗層）/ <code>燒烤盤</code><code></code> 金屬合金（不沾黏塗層）／<code>上蓋</code> 不鏽鋼、PBT 樹脂／<code>控油架、蒸架</code> 不鏽鋼 ,產地：日本品牌，日本設計，中國製造,保固：機體原廠 1 年保固,商品驗證識別號碼: R35178,產品責任險：本商品已投保新光產險 3200 萬產品責任險"
Dr. Fu 酸痛按摩師,Dr. Fu,143030,1990,https://market.icook.tw//products/drfu,"品名：Dr. Fu 酸痛按摩師,材質：EVA 彈力泡棉、ABS,耐重：可達 135 kg,尺寸：D65xW19xH8.9 cm,產地：美國品牌，美國設計，中國製造"
SWANZ 動飲杯｜直飲吸管開蓋三合一,Swanz,687460,1380,https://market.icook.tw//products/swanzluna,"<span style=""font-size: 11pt;"">品名：矽膠清潔刷</span>,尺寸：Ø5cmx30cm,重量：30g,材質：矽膠,產地：中國製造"
日本阿拉丁0.2秒320度瞬熱烤箱旗艦款,日本千石阿拉丁,3645680,10900,https://market.icook.tw//products/aladdin,"品名：日本美濃燒 Sowaca 單柄陶盤+雙耳陶盤,規格：<code>圓形雙耳陶盤</code> D28cm×W23.3cmxH5.8cm／<code>單柄多用途陶盤</code> D19.5cmxW26cmxH3.5cm,產地：日本品牌，日本設計，日本手工製造,貼心提醒：本產品不適用於 IH 調理爐"
日本KOM 瞬熱式智能飲水機,KOM,,3280,https://market.icook.tw//products/kom-water,"品名：日本KOM 瞬熱式智能飲水機,尺寸：D22xW18.8xH31 cm,電壓：110V／60Hz,功率：1500W,重量：4.3kg,製熱水能力：280ml／分,產地：日本品牌，中國製造,檢驗：BSMI 號碼 CI410062900329"
義大利雙口免安裝 IH 聚嗨爐,義大利 Giaretti,989672,5990,https://market.icook.tw//products/ihtwopot,"品名：原木矽膠餐具 5 件組,內容物：櫸木柄矽膠鍋鏟、櫸木柄矽膠湯勺、櫸木柄矽膠料理刷、櫸木柄矽膠夾、廚具收納桶,材質：耐熱矽膠,產地：中國製造，台灣監製"
德國真空破壁調理機,德國藍寶 BLAUPUNKT,4970040,4990,https://market.icook.tw//products/blender-blaupunkt,"品名：德國藍寶真空破壁調理機,型號：BPH-M01B,產品尺寸：<code>本體</code> D19.7XW20.7xH47.2 cm <code>壺體</code> W15.1xD21.6xH29.4cm,重量：<code>本體</code> 4.1kg <code>壺體</code> 891g（含杯蓋）,容量：1750ml,材質：<code>底座</code> ABS <code>壺體</code> Tritan™ <code>刀刃</code> 304 不鏽鋼,額定電壓：110V / 60Hz / 1000W,電源線長度：約150cm,馬達轉速：24,000 RPM,真空效果：59Kpa,內容物：主機x1、攪拌棒x1、量杯x1、真空塞x2、食譜x1、說明書x1、清潔刷x1,可設定模式：蔬果、冰沙、醬汁、米糊、研磨,可預設秒數：10秒、20秒、30秒、40秒、60秒,產地：德國品牌，德國設計，中國製造,國際條碼：4711467079602,商檢合格字號：CI338065993422"
one-meter 玻啵鍋,one meter,3473399,2880,https://market.icook.tw//products/one-meter,"品名：one-meter 玻啵鍋,內容物：主機、玻璃內鍋、烤架、說明書,尺寸：D23xW19xH22cm,容量：2L,重量：2.55kg,額定電壓／頻率：110V／60Hz,總額定消耗功率：700W,溫度範圍：120～180°C,產地：台灣品牌，中國製造,認證：<a href=""https://imgur.com/4rtBQvn"" rel=""nofollow noopener"" target=""_blank"">符合 BSMI 合格檢驗</a>"
愛酷傘｜防風瞬開超大折疊傘,iCook 愛料理精選好物,,390,https://market.icook.tw//products/umbrella,"品名：愛酷傘｜防風瞬開超大折疊傘,顏色：純黑、鐵灰、墨綠、深藍,尺寸：<code>弧面</code> 138cm／<code>展開</code> Φ120xH70cm ／<code>折疊</code> D37xW7cm,重量：480g,材質：鋁合金、玻璃纖維、POLYESTER布料,產地：台灣品牌，台灣設計，中國製造"
台灣原創 雙向矽膠鍋鏟,Turnula,11930388,590,https://market.icook.tw//products/new-turnula,"品名：Turnula 雙向不鏽鋼鍋鏟,尺寸：W8.7±0.2 x D37.5±0.5 x H4±0.3cm,重量：180±10g,材質：304 高級不鏽鋼,產地：台灣品牌，台灣設計，中國製造,適用於：一般 28~40cm 口徑的各式炒鍋,專利：<code>台灣發明</code> 1612929、<code>台灣新型</code> M539896、<code>台灣設計</code> D186325、<code>日本設計</code> 1600072、<code>中國新型</code> ZL201621458087.8、<code>中國設計</code> ZL201730348700.4、<code>中國設計</code> ZL201730348717.X"
Festino美容導入儀2.0升級款,日本 recolte,470240,2280,https://market.icook.tw//products/recolte-festino,"品名：日本 Festino 音波熱感美容儀 2.0 升級款,型號：SMHB-023,顏色：粉,尺寸：約W18.5×D18.5×H128mm,材質：ABS、鋅合金,重量：約 27g,電壓：USB 電源（DC5V／1A）,產地：日本品牌，日本設計，中國製造"
韓國昌信收納保鮮盒,昌信生活,2616413,869,https://market.icook.tw//products/story,"品名：SKYLOCK 密扣提籃式保鮮盒,容量：3800ml／5900ml,內容物：保鮮盒x1+格狀提籃x1,顏色：<code>盒蓋</code> 白色／<code>盒身</code> 透明,尺寸：<code>3800ml</code> D23.5 x W23.5 x H10cm／<code>5900ml</code> D23.5xW23.5xH15cm,材質：<code>盒身</code> SAN／<code>上蓋</code> PP、TPE／<code>提籃</code> RPP,耐熱：<code>盒身</code> -30~100℃／<code>上蓋</code> -30~100℃／<code>提籃</code> -20~100℃,產地：韓國品牌，韓國設計，韓國製造,適用於：僅有盒身可入洗碗機、微波爐。,認證：通過 FDA 原料認證，通過 KCL 檢驗認證，BPA Free（不含雙酚A）。"
