product_title,product_brand,product_amount,product_price,product_url,product_spec_detail_text
MATURE 美萃移動式除油煙機,美萃 MATURE,,2980,https://market.icook.tw//products/mature-rangehood,
台灣製316不鏽鋼 櫻花不沾七層炒鍋,LMG,,2380,https://market.icook.tw//products/sakura,"品名：台灣製 304 不鏽鋼多功能蒸籠,規格：32cm／34cm／38cm,尺寸：<code>32cm</code> Ø32x8cm／<code>34cm</code> Ø34x8.2cm／<code>38cm</code> Ø38x8.4cm,重量：<code>32cm</code> 420g／<code>34cm</code> 570g／<code>38cm</code> 680g,材質：304 不鏽鋼,產地：台灣品牌、台灣製造"
GIGA 一鍵全自動充氣睡墊,GIGA,534183.0,3399,https://market.icook.tw//products/giga-sleeping-pad,"品名：Amingogo 露營冰桶,顏色：黑色、橄欖綠色,容量：1.9L / 3.8L,材質：304 不鏽鋼、PP,尺寸：<code>1.9L</code> Ø13.5xH34cm／<code>3.8L</code> Ø16xH39cm（含手把高度）,保冷時效：滿桶冰量測試，30 度室溫下（24 小時約剩餘 80% 冰量；48 小時剩餘 50% 冰量）,保溫時效：裝約 95 度熱水，23 度室溫下（12小時約剩 80 度、24小時約剩 65 度）,貼心提醒：因使用溫度環境不同，數據可能會有所差異,產地：台灣品牌，台灣設計，中國製造"
太空鍋｜法國THOMSON智能溫控萬用鍋,法國 THOMSON,1557410.0,3990,https://market.icook.tw//products/thomson-pressurecooker,"品名：太空鍋｜法國 智能溫控萬用壓力鍋,內容物：含 主機、內鍋、量米杯、湯勺、飯勺、說明書,顏色：白色／紫色,型號：TM-SAPO1P,尺寸：D26.4xW26.8xH28.4cm,材質：<code>本體</code> 聚丙烯合成樹脂 / <code>內鍋</code> 鋁合金（陶瓷不沾塗層）,內鍋容量 : 4L,工作壓力值：0～70kPa,電壓：110V／60Hz,功率：900W,產地：法國品牌，中國製造"
one-meter 玻霸鍋,one-meter,1854280.0,3980,https://market.icook.tw//products/one-meter-boba,"品名：one-meter 玻霸鍋,顏色：科技黑、經典白,容量：4.5L,重量：4.6kg,尺寸：D26.5xW25.5xH26 cm,材質：<code>內鍋</code> 高硼矽玻璃／<code>加熱管</code> 碳素管／<code>濾油網架</code> 不鏽鋼,額定耗電功率：1200W,額定電壓／頻率：100V／60Hz,產地：台灣品牌，中國製造,認證：<a href=""https://assets.zeczec.com/asset_493937_image_big.png?1657219160"" rel=""nofollow noopener"" target=""_blank"">符合 BSMI 合格檢驗</a>"
平易淨 無線平面清潔器 K611,SWDK,,1880,https://market.icook.tw//products/swdk-cordlesscleaner,"品名：SWDK 專用替換抹布（2入）,型號：KRAG6,正面材質：15% 聚丙烯+55% 聚酯纖維+30% 錦綸,背面材質：100% 滌綸,尺寸：D250 x Ｗ16mm,產地：中國製造，台灣品牌"
溫揉指｜氣壓溫感手部按摩機,3ZeBra,,1880,https://market.icook.tw//products/hand-massager,"品名：溫揉指｜氣壓溫感手部按摩機,產地：台灣品牌，中國製造"
MATURE 美萃夾心陶瓷爐,美萃 MATURE,,4980,https://market.icook.tw//products/mature-ceramic,
DMO 復古義式雙膠囊咖啡機,韓國 OSNER,2487980.0,5880,https://market.icook.tw//products/dmo-coffee,"品名：ELCONA 韓國經典電動咖啡磨豆機,磨豆數：20～70g,保固：3 年,產地：韓國品牌，韓國設計，中國製造"
meekee 三合一食物調理機,meekee,,1590,https://market.icook.tw//products/meekee-food,"品名：meekee 保鮮解凍器,內容物：主機、解凍板、保鮮霧化器、接水底盤、上蓋、Type-C 充電線,尺寸：32x24.5x19.5cm,材質：PET／ABS 食品接觸級塑料、HDF 高密度鋁合金,顏色：灰色、玫瑰金,產地：台灣品牌，中國製造,貼心提醒 : 本商品屬於衛生用品，若您不確定是否合乎使用，或對商品有疑問，建議先行詢問廠商。若一經使用，會產生無法清潔以及衛生之問題，且無法再行銷售，除商品本身故障瑕疵外，辦理退貨時可能依實際使用之狀況產生退貨整新之費用。"
