product_title,product_brand,product_amount,product_price,product_url,product_spec_detail_text,group_period_start,group_period_end,new_product
法國 AGiM 減醣舒肥電子鍋,法國 AGiM,751120.0,2990,https://market.icook.tw//products/agim-pot,,,2023/02/07 15:59:00,
法國 THOMSON 智能廚餘機,法國 THOMSON,,8590,https://market.icook.tw//products/thomson-kitchenwaste,,,,
AIMABA 超音波食洗器,AIMABA,2113002.0,15999,https://market.icook.tw//products/aimaba,,,2023/01/16 15:59:00,
韓國樂扣樂扣薄荷奶霜可拆式把手鍋具五件組,韓國樂扣樂扣,462244.0,2999,https://market.icook.tw//products/locknlock,"品名：韓國樂扣樂扣可拆式把手鍋具五件組,材質：<code>本體</code> 鋁合金／<code>外層</code> 陶瓷塗層／<code>內層</code> 三層超強化不沾塗層,產地：韓國設計，越南製造",,2023/01/11 15:59:00,
德國 SABA 瞬冷瞬熱 RO 飲水機,SABA,5026690.0,13900,https://market.icook.tw//products/saba-rocold,"品名：德國 SABA 瞬冷瞬熱 RO 飲水機,水箱容量：8.5L（可使用水箱 6L＋餘水用水箱 2.5L）,水箱重量：11kg,額定電壓：110V / 60Hz,總額定消耗電功率:1400W,額定製冷功率：68W,產地：德國品牌，中國製造，台灣監製",,2023/01/11 15:59:00,
飛利浦 熱穿透氣旋 小黑/小綠健康氣炸鍋,Philips 飛利浦,1451870.0,4990,https://market.icook.tw//products/philips-airfryer,,,2023/01/19 15:59:00,
法國 THOMSON 無線真空保鮮機,法國 THOMSON,555360.0,1780,https://market.icook.tw//products/thomson-sealer,,,2023/01/25 15:59:00,
PeaceKorea 萬用拆箱刀,PeaceKorea,,499,https://market.icook.tw//products/peacekorea-utilityknife,"品名：PeaceKorea 萬用拆箱刀,顏色：白色,材質：<code>刀體</code> <span style=""font-family: monospace;"">420不鏽鋼／<code>刀柄</code> ABS,</span>產地：韓國設計，韓國製造",,,✅
膳夫薄鑄鐵深炒鍋,THANKFUL,1344180.0,2480,https://market.icook.tw//products/thankful-slimcastiron,"品名：膳夫薄鑄鐵深炒鍋,",,2023/01/31 15:59:00,
日本麗克特麵包機,日本 recolte,5425745.0,4280,https://market.icook.tw//products/recolte-bakery,"品名：日本麗克特麵包機,內容物：含主機、內鍋、攪拌葉片、內鍋蓋、量匙、量杯、麵包取出棒、官方 52 道食譜、操作說明書,型號：RBK-1,顏色：奶油白、磨砂灰,容量：500g（麵粉上限 300g）,尺寸：W20.5 x D27 x H31cm,重量：約 4.1kg,電壓：110V／60Hz,功率：450W,溫度調節：70~230°C,材質：<code>主機、內鍋蓋</code> PP／<code>內鍋</code> 金屬合金（氟樹脂塗層）／<code>攪拌葉片</code> 金屬合金（陶瓷塗層）／<code>麵包取出棒</code> 不鏽鋼,產地：日本品牌，日本設計，中國製造,商品驗證識別號碼: R35178,產品責任險：本產品已投保新光產險 3200 萬產品責任險",,2023/01/10 15:59:00,
GIGA 一鍵全自動充氣睡墊,GIGA,4765548.0,4799,https://market.icook.tw//products/giga-sleeping-pad,"品名：Amingogo 露營冰桶,顏色：黑色、橄欖綠色,容量：1.9L / 3.8L,材質：304 不鏽鋼、PP,尺寸：<code>1.9L</code> Ø13.5xH34cm／<code>3.8L</code> Ø16xH39cm（含手把高度）,保冷時效：滿桶冰量測試，30 度室溫下（24 小時約剩餘 80% 冰量；48 小時剩餘 50% 冰量）,保溫時效：裝約 95 度熱水，23 度室溫下（12小時約剩 80 度、24小時約剩 65 度）,貼心提醒：因使用溫度環境不同，數據可能會有所差異,產地：台灣品牌，台灣設計，中國製造",,2023/01/31 15:59:00,
one-meter 玻霸鍋,one-meter,12355180.0,3980,https://market.icook.tw//products/one-meter-boba,"品名：one-meter 智能高速破壁冷熱調理機,內容物：主機x1、量杯x1、蒸籠x1、攪拌棒x1、濾網x1、清潔刷x1,型號：OJE-18021CM,尺寸：D20.5xW20.5xH52cm,材質：<code>壺體</code> 高硼矽玻璃／<code>刀片</code> 304 不鏽鋼／<code>壺底</code> PTC 不鏽鋼,可用容量：<code>冷</code> 1600ml／<code>熱</code> 1400ml,馬達轉速：32000 RPM,刀片數：8 重刀片設計,重量：5kg,額定電壓／頻率：110V／60Hz,總額定消耗功率：1000W／<code>調理</code> 800W,產地：台灣品牌，中國製造",,2023/01/31 15:59:00,
Driver 甘丹茶壺,Driver,4845344.0,1180,https://market.icook.tw//products/driverteatop,"品名：Driver 大甘丹茶壺,內容物：大甘丹、防塵蓋,尺寸：Ø12.5xH19 cm／<code>防塵蓋</code> Ø8.8xH1.5 cm,容量：1000ml,材質：304不鏽鋼、高硼矽耐熱玻璃、食品級矽膠圈／<code>防塵蓋</code> PP,耐冷熱：-20～130°C,產地：台灣品牌，台灣設計，台灣製造",,,✅
法國全自動可加熱營養豆漿機,法國THOMSON,2981030.0,2990,https://market.icook.tw//products/thomson-soymilk,,,,
德國SABA RO瞬熱飲水機,SABA,11906932.0,10900,https://market.icook.tw//products/saba-ro,"品名：SABA 飲水機專用濾芯組,內容物：PAC 活性碳 PP 濾芯+ RO 逆滲透濾芯+C2 複合式濾芯,總淨化水量：5000L,產地：中國製造，台灣監製,認證：<a href=""https://imgur.com/a/tv1Y5Iu"" rel=""nofollow noopener"" target=""_blank"">SGS 水質檢驗合格報告</a>",,,
MATURE 美萃夾心陶瓷爐,美萃 MATURE,,3880,https://market.icook.tw//products/mature-ceramic,,,,✅
