商品名稱,品牌名稱,累積金額,產品單價,產品網址,產品規格
one-meter 玻霸鍋,one-meter,6216370.0,3980,https://market.icook.tw//products/one-meter-boba,"品名：one-meter 玻霸鍋,顏色：科技黑、經典白,容量：4.5L,重量：4.6kg,尺寸：D26.5xW25.5xH26 cm,材質：<code>內鍋</code> 高硼矽玻璃／<code>加熱管</code> 碳素管／<code>濾油網架</code> 不鏽鋼,額定耗電功率：1200W,額定電壓／頻率：100V／60Hz,產地：台灣品牌，中國製造,認證：<a href=""https://assets.zeczec.com/asset_493937_image_big.png?1657219160"" rel=""nofollow noopener"" target=""_blank"">符合 BSMI 合格檢驗</a>"
GREENIS 全方位智慧料理機,GREENIS,4625620.0,27900,https://market.icook.tw//products/greenis,"品名：SOUSV pot 舒肥萬用鍋,型號：BSV-A60,顏色：黑色,尺寸：<code>主機</code> W37 x D33.5 x H30 cm／<code>內鍋</code> W22.5 x D22.5 x H16 cm,最大容量：5.6公升,功率：1200W,電壓：110V／60Hz,重量：4 kg,材質：<code>主機外殼</code> 不鏽鋼、PP／<code>內鍋</code> 鋁合金＋不沾陶瓷塗層／<code>舒肥架</code> 304不鏽鋼／<code>舒肥架防刮墊</code> 食品級矽膠／<code>飯匙</code> 食品級PP／<code>量杯</code> 食品級PP,內容物：主機、5.6公升專用內鍋、舒肥架、飯匙、量杯、使用指南、愛料理專屬食譜、舒肥食譜磁鐵,產地：台灣品牌，美國設計，中國製造，台灣監製"
小嵐立式美髮吹風機,meekee,4458880.0,3990,https://market.icook.tw//products/pink-meekee,"品名：小嵐立式美髮吹風機,顏色：櫻花粉、薄荷綠,尺寸：119～148.2cm,材質：ABS、鋁合金,重量：3.45kg,電壓：110V/ 1200W,電線長度：150cm,桿身長度：三節式伸縮調節,產地：中國製造,認證：BSMI、 NCC 合格檢驗（無線遙控器）,<span style=""color: #c0504d;"">貼心提醒：</span>,1. 因商品屬性屬於衛生性商品，無法真的試用。,2. 商品收到後可以拆箱確認（僅限於主機功能部分），請開啟電源確認風量及溫度是否符合需求，過程中先不要組裝以免產生使用痕跡，後續如需申請退貨，商品也須完全恢復原包裝及狀態。,3. 情境圖僅供參考，實際桿身為無刻度設計，請以收到之商品為準。"
GIGA 一鍵全自動充氣睡墊,GIGA,2984996.0,4799,https://market.icook.tw//products/giga-sleeping-pad,"品名：Amingogo 露營冰桶,顏色：黑色、橄欖綠色,容量：1.9L / 3.8L,材質：304 不鏽鋼、PP,尺寸：<code>1.9L</code> Ø13.5xH34cm／<code>3.8L</code> Ø16xH39cm（含手把高度）,保冷時效：滿桶冰量測試，30 度室溫下（24 小時約剩餘 80% 冰量；48 小時剩餘 50% 冰量）,保溫時效：裝約 95 度熱水，23 度室溫下（12小時約剩 80 度、24小時約剩 65 度）,貼心提醒：因使用溫度環境不同，數據可能會有所差異,產地：台灣品牌，台灣設計，中國製造"
日本麗克特麵包機,日本 recolte,2692120.0,4280,https://market.icook.tw//products/recolte-bakery,"品名：日本麗克特麵包機,內容物：含主機、內鍋、攪拌葉片、內鍋蓋、量匙、量杯、麵包取出棒、官方 52 道食譜、操作說明書,型號：RBK-1,顏色：奶油白、磨砂灰,容量：500g（麵粉上限 300g）,尺寸：W20.5 x D27 x H31cm,重量：約 4.1kg,電壓：110V／60Hz,功率：450W,溫度調節：70~230°C,材質：<code>主機、內鍋蓋</code> PP／<code>內鍋</code> 金屬合金（氟樹脂塗層）／<code>攪拌葉片</code> 金屬合金（陶瓷塗層）／<code>麵包取出棒</code> 不鏽鋼,產地：日本品牌，日本設計，中國製造,商品驗證識別號碼: R35178,產品責任險：本產品已投保新光產險 3200 萬產品責任險"
法國全自動可加熱營養豆漿機,法國THOMSON,2607280.0,2990,https://market.icook.tw//products/thomson-soymilk,
太空鍋｜法國THOMSON智能溫控萬用鍋,法國 THOMSON,1619770.0,3990,https://market.icook.tw//products/thomson-pressurecooker,"品名：太空鍋｜法國 智能溫控萬用壓力鍋,內容物：含 主機、內鍋、量米杯、湯勺、飯勺、說明書,顏色：白色／紫色,型號：TM-SAPO1P,尺寸：D26.4xW26.8xH28.4cm,材質：<code>本體</code> 聚丙烯合成樹脂 / <code>內鍋</code> 鋁合金（陶瓷不沾塗層）,內鍋容量 : 4L,工作壓力值：0～70kPa,電壓：110V／60Hz,功率：900W,產地：法國品牌，中國製造"
日本BRUNO美型智能氣炸鍋,日本BRUNO,1264320.0,3280,https://market.icook.tw//products/bruno-airfryer,"品名：日本 BRUNO 美型智能氣炸鍋,顏色：經典紅、薄荷綠,尺寸：W24.3xH31.4xD32.4cm,容量：3.5L,材質：<code>機身</code> PP／<code>炸鍋</code> 鍍鋁板+塗層／<code>烤架</code> 鍍鋁板+塗層+矽膠,電壓：110V／60Hz,功率：1500W,內容物：主機、烤架、專用食譜書,電源線長：0.9m,產地：日本品牌、日本設計、中國生產,BSMI 認證：R31310（授權放行通知書號碼：CI311063103881號00）,認證：<a href=""https://imgur.com/ygzjezA"" rel=""nofollow noopener"" target=""_blank"">intertek 塗層檢驗合格報告</a>"
日本Toffy 單片熱壓三明治機,日本TOFFY,975960.0,1380,https://market.icook.tw//products/toffy-onetoast,"品名：日本Toffy 單片熱壓三明治機,型號：K-HS3,顏色：蘋果綠／蜜糖粉／象牙白,尺寸：W16.7 x D22 x H9.6cm,重量：750g,材質：金屬合金、不沾塗層、樹脂,電壓：110V／60Hz／500W,產地：日本品牌，日本設計，中國製造,商品驗證識別號碼 : R39578,本商品已投保新光產險 3200 萬產品責任險"
 meekee 三合一食物調理機,meekee,871713.0,1990,https://market.icook.tw//products/meekee-food,"品名：meekee 保鮮解凍器,內容物：主機、解凍板、保鮮霧化器、接水底盤、上蓋、Type-C 充電線,尺寸：32x24.5x19.5cm,材質：PET／ABS 食品接觸級塑料、HDF 高密度鋁合金,顏色：灰色、玫瑰金,產地：台灣品牌，中國製造,貼心提醒 : 本商品屬於衛生用品，若您不確定是否合乎使用，或對商品有疑問，建議先行詢問廠商。若一經使用，會產生無法清潔以及衛生之問題，且無法再行銷售，除商品本身故障瑕疵外，辦理退貨時可能依實際使用之狀況產生退貨整新之費用。"
