商品名稱,品牌名稱,累積金額,商品單價,商品網址,商品規格,集資開始,集資結束,新品入榜
MAXCELIA 無線秤重食物調理機,MAXCELIA,2740240.0,1690,https://market.icook.tw//products/maxcelia,"品名：MAXCELIA 無線秤重食物調理機,內容物：主機＋600ml 玻璃調理杯+1200ml 玻璃調理杯+不鏽鋼刀頭x2+剝蒜器x2＋攪拌盤x2＋磨泥盤x2＋刮刀＋USB充電線,型號：MX-0126BS,調理杯容量：600ml／1200ml,尺寸：<code>600ml</code> Φ11.8xH22.5cm／<code>1200ml</code> Φ14.8xH23.8cm,重量：<code>600ml</code> 1.2kg／<code>1200ml</code> 1.52kg,材質：<code>雙層切碎刀頭</code> POM+SUS420／<code>碗蓋</code> PP／<code>600ml、1200ml調理杯</code> 鈉鈣玻璃／<code>攪拌盤、磨泥盤</code> ABS／<code>剝蒜器、碗墊、碗蓋墊圈</code> 矽膠,耐熱溫度：<code>玻璃調理杯</code> 0～50°C,額定秤重範圍：&lt;1.0kg,轉速：1400 轉／分,額定輸入電壓：5V／1A,總額定消耗電功率：120W,電池容量：1500mAh,充電時間：4 小時,連續運作時間：長壓時間不超過 30 秒，每次需間隔 2 分鐘。,產地：台灣品牌，中國製造",,,✅
one-meter 玻啵鍋 2.0,one-meter,762820.0,2880,https://market.icook.tw//products/onemeter-bobo,,,2023/01/16 15:59:00,✅
one-meter 玻霸鍋,one-meter,13072500.0,3980,https://market.icook.tw//products/one-meter-boba,"品名：one-meter 智能高速破壁冷熱調理機,內容物：主機x1、量杯x1、蒸籠x1、攪拌棒x1、濾網x1、清潔刷x1,型號：OJE-18021CM,尺寸：D20.5xW20.5xH52cm,材質：<code>壺體</code> 高硼矽玻璃／<code>刀片</code> 304 不鏽鋼／<code>壺底</code> PTC 不鏽鋼,可用容量：<code>冷</code> 1600ml／<code>熱</code> 1400ml,馬達轉速：32000 RPM,刀片數：8 重刀片設計,重量：5kg,額定電壓／頻率：110V／60Hz,總額定消耗功率：1000W／<code>調理</code> 800W,產地：台灣品牌，中國製造",,2023/01/31 15:59:00,
德國SABA RO瞬熱飲水機,SABA,11996002.0,10900,https://market.icook.tw//products/saba-ro,"品名：SABA 飲水機專用濾芯組,內容物：PAC 活性碳 PP 濾芯+ RO 逆滲透濾芯+C2 複合式濾芯,總淨化水量：5000L,產地：中國製造，台灣監製,認證：<a href=""https://imgur.com/a/tv1Y5Iu"" rel=""nofollow noopener"" target=""_blank"">SGS 水質檢驗合格報告</a>",,,
德國 SABA 瞬冷瞬熱 RO 飲水機,SABA,7869780.0,13900,https://market.icook.tw//products/saba-rocold,"品名：德國 SABA 瞬冷瞬熱 RO 飲水機,水箱容量：8.5L（可使用水箱 6L＋餘水用水箱 2.5L）,水箱重量：11kg,額定電壓：110V / 60Hz,總額定消耗電功率:1400W,額定製冷功率：68W,產地：德國品牌，中國製造，台灣監製",,2023/01/18 15:59:00,
日本麗克特麵包機,日本 recolte,5498903.0,4280,https://market.icook.tw//products/recolte-bakery,"品名：日本麗克特麵包機,內容物：含主機、內鍋、攪拌葉片、內鍋蓋、量匙、量杯、麵包取出棒、官方 52 道食譜、操作說明書,型號：RBK-1,顏色：奶油白、磨砂灰,容量：500g（麵粉上限 300g）,尺寸：W20.5 x D27 x H31cm,重量：約 4.1kg,電壓：110V／60Hz,功率：450W,溫度調節：70~230°C,材質：<code>主機、內鍋蓋</code> PP／<code>內鍋</code> 金屬合金（氟樹脂塗層）／<code>攪拌葉片</code> 金屬合金（陶瓷塗層）／<code>麵包取出棒</code> 不鏽鋼,產地：日本品牌，日本設計，中國製造,商品驗證識別號碼: R35178,產品責任險：本產品已投保新光產險 3200 萬產品責任險",,2023/01/17 15:59:00,
GIGA 一鍵全自動充氣睡墊,GIGA,4880776.0,4799,https://market.icook.tw//products/giga-sleeping-pad,"品名：Amingogo 露營冰桶,顏色：黑色、橄欖綠色,容量：1.9L / 3.8L,材質：304 不鏽鋼、PP,尺寸：<code>1.9L</code> Ø13.5xH34cm／<code>3.8L</code> Ø16xH39cm（含手把高度）,保冷時效：滿桶冰量測試，30 度室溫下（24 小時約剩餘 80% 冰量；48 小時剩餘 50% 冰量）,保溫時效：裝約 95 度熱水，23 度室溫下（12小時約剩 80 度、24小時約剩 65 度）,貼心提醒：因使用溫度環境不同，數據可能會有所差異,產地：台灣品牌，台灣設計，中國製造",,2023/01/31 15:59:00,
法國全自動可加熱營養豆漿機,法國THOMSON,3004950.0,2990,https://market.icook.tw//products/thomson-soymilk,,,,
AIMABA 超音波食洗器,AIMABA,2161326.0,15999,https://market.icook.tw//products/aimaba,,,2023/01/16 15:59:00,
飛利浦 熱穿透氣旋 小黑/小綠健康氣炸鍋,Philips 飛利浦,1651270.0,4990,https://market.icook.tw//products/philips-airfryer,,,2023/01/19 15:59:00,
膳夫薄鑄鐵深炒鍋,THANKFUL,1375700.0,2480,https://market.icook.tw//products/thankful-slimcastiron,"品名：膳夫薄鑄鐵深炒鍋,",,2023/01/31 15:59:00,
法國 THOMSON 無線真空保鮮機,法國 THOMSON,745300.0,1880,https://market.icook.tw//products/thomson-sealer,,,2023/01/25 15:59:00,
韓國樂扣樂扣薄荷奶霜可拆式把手鍋具五件組,韓國樂扣樂扣,557800.0,2999,https://market.icook.tw//products/locknlock,"品名：韓國樂扣樂扣可拆式把手鍋具五件組,材質：<code>本體</code> 鋁合金／<code>外層</code> 陶瓷塗層／<code>內層</code> 三層超強化不沾塗層,產地：韓國設計，越南製造",,2023/01/19 15:59:00,
